fold,model,pred_len,MAE,ticker
2,Linear,21,1.2,SHB
2,DLinear,21,1.1,SHB
2,NLinear,21,1.24,SHB
2,Naive,21,1.42,SHB
3,Linear,21,4.36,SHB
3,DLinear,21,3.72,SHB
3,NLinear,21,0.97,SHB
3,Naive,21,0.68,SHB
4,Linear,21,4.46,SHB
4,DLinear,21,3.83,SHB
4,NLinear,21,0.58,SHB
4,Naive,21,0.51,SHB
1,Linear,1,0.34,SSB
1,DLinear,1,0.24,SSB
1,NLinear,1,0.22,SSB
1,Naive,1,0.2,SSB
2,Linear,1,0.5,SSB
2,DLinear,1,0.33,SSB
2,NLinear,1,0.31,SSB
2,Naive,1,0.31,SSB
3,Linear,1,0.4,SSB
3,DLinear,1,0.28,SSB
3,NLinear,1,0.23,SSB
3,Naive,1,0.2,SSB
4,Linear,1,0.39,SSB
4,DLinear,1,0.2,SSB
4,NLinear,1,0.12,SSB
4,Naive,1,0.1,SSB
1,Linear,5,0.35,SSB
1,DLinear,5,0.33,SSB
1,NLinear,5,0.29,SSB
1,Naive,5,0.28,SSB
2,Linear,5,0.57,SSB
2,DLinear,5,0.54,SSB
2,NLinear,5,0.44,SSB
2,Naive,5,0.45,SSB
3,Linear,5,0.43,SSB
3,DLinear,5,0.37,SSB
3,NLinear,5,0.3,SSB
3,Naive,5,0.28,SSB
4,Linear,5,0.34,SSB
4,DLinear,5,0.3,SSB
4,NLinear,5,0.2,SSB
4,Naive,5,0.19,SSB
1,Linear,21,0.44,SSB
1,DLinear,21,0.44,SSB
1,NLinear,21,0.41,SSB
1,Naive,21,0.42,SSB
2,Linear,21,0.98,SSB
2,DLinear,21,0.9,SSB
2,NLinear,21,0.87,SSB
2,Naive,21,0.81,SSB
3,Linear,21,0.72,SSB
3,DLinear,21,0.69,SSB
3,NLinear,21,0.48,SSB
3,Naive,21,0.59,SSB
4,Linear,21,0.59,SSB
4,DLinear,21,0.63,SSB
4,NLinear,21,0.31,SSB
4,Naive,21,0.31,SSB
1,Linear,1,0.87,STB
1,DLinear,1,0.85,STB
1,NLinear,1,0.58,STB
1,Naive,1,0.54,STB
2,Linear,1,1.14,STB
2,DLinear,1,0.85,STB
2,NLinear,1,0.72,STB
2,Naive,1,0.72,STB
3,Linear,1,2.48,STB
3,DLinear,1,2.1,STB
3,NLinear,1,1.17,STB
3,Naive,1,1.05,STB
4,Linear,1,2.04,STB
4,DLinear,1,2.2,STB
4,NLinear,1,1.37,STB
4,Naive,1,1.21,STB
1,Linear,5,1.04,STB
1,DLinear,5,1.07,STB
1,NLinear,5,0.89,STB
1,Naive,5,0.92,STB
2,Linear,5,1.33,STB
2,DLinear,5,1.17,STB
2,NLinear,5,1.01,STB
2,Naive,5,1.13,STB
3,Linear,5,3.91,STB
3,DLinear,5,3.64,STB
3,NLinear,5,1.95,STB
3,Naive,5,1.85,STB
4,Linear,5,2.7,STB
4,DLinear,5,2.71,STB
4,NLinear,5,2.03,STB
4,Naive,5,2.1,STB
1,Linear,21,1.79,STB
1,DLinear,21,2.11,STB
1,NLinear,21,1.32,STB
1,Naive,21,1.36,STB
2,Linear,21,1.44,STB
2,DLinear,21,1.34,STB
2,NLinear,21,1.95,STB
2,Naive,21,2.29,STB
3,Linear,21,8.01,STB
3,DLinear,21,8.62,STB
3,NLinear,21,3.4,STB
3,Naive,21,3.2,STB
4,Linear,21,4.02,STB
4,DLinear,21,4.8,STB
4,NLinear,21,2.9,STB
4,Naive,21,3.44,STB
1,Linear,1,0.81,TCB
1,DLinear,1,0.72,TCB
1,NLinear,1,0.39,TCB
1,Naive,1,0.36,TCB
2,Linear,1,0.79,TCB
2,DLinear,1,0.73,TCB
2,NLinear,1,0.51,TCB
2,Naive,1,0.51,TCB
3,Linear,1,1.13,TCB
3,DLinear,1,1.13,TCB
3,NLinear,1,0.69,TCB
3,Naive,1,0.56,TCB
4,Linear,1,1.25,TCB
4,DLinear,1,1.12,TCB
4,NLinear,1,0.52,TCB
4,Naive,1,0.53,TCB
1,Linear,5,1.27,TCB
1,DLinear,5,0.85,TCB
1,NLinear,5,0.71,TCB
1,Naive,5,0.69,TCB
2,Linear,5,1.1,TCB
2,DLinear,5,0.88,TCB
2,NLinear,5,0.75,TCB
2,Naive,5,0.84,TCB
3,Linear,5,2.13,TCB
3,DLinear,5,1.57,TCB
3,NLinear,5,1.05,TCB
3,Naive,5,1.04,TCB
4,Linear,5,2.13,TCB
4,DLinear,5,1.57,TCB
4,NLinear,5,1.0,TCB
4,Naive,5,0.89,TCB
1,Linear,21,1.61,TCB
1,DLinear,21,1.56,TCB
1,NLinear,21,1.58,TCB
1,Naive,21,1.58,TCB
2,Linear,21,1.25,TCB
2,DLinear,21,1.38,TCB
2,NLinear,21,1.27,TCB
2,Naive,21,1.7,TCB
3,Linear,21,3.7,TCB
3,DLinear,21,3.09,TCB
3,NLinear,21,2.01,TCB
3,Naive,21,1.82,TCB
4,Linear,21,3.65,TCB
4,DLinear,21,3.05,TCB
4,NLinear,21,2.07,TCB
4,Naive,21,1.78,TCB
1,Linear,1,0.31,TPB
1,DLinear,1,0.36,TPB
1,NLinear,1,0.2,TPB
1,Naive,1,0.17,TPB
2,Linear,1,0.51,TPB
2,DLinear,1,0.44,TPB
2,NLinear,1,0.34,TPB
2,Naive,1,0.33,TPB
3,Linear,1,0.61,TPB
3,DLinear,1,0.48,TPB
3,NLinear,1,0.34,TPB
3,Naive,1,0.27,TPB
4,Linear,1,0.52,TPB
4,DLinear,1,0.45,TPB
4,NLinear,1,0.26,TPB
4,Naive,1,0.24,TPB
1,Linear,5,0.53,TPB
1,DLinear,5,0.44,TPB
1,NLinear,5,0.36,TPB
1,Naive,5,0.34,TPB
2,Linear,5,0.84,TPB
2,DLinear,5,0.65,TPB
2,NLinear,5,0.49,TPB
2,Naive,5,0.56,TPB
3,Linear,5,0.78,TPB
3,DLinear,5,0.77,TPB
3,NLinear,5,0.43,TPB
3,Naive,5,0.37,TPB
4,Linear,5,0.71,TPB
4,DLinear,5,0.67,TPB
4,NLinear,5,0.42,TPB
4,Naive,5,0.37,TPB
1,Linear,21,0.99,TPB
1,DLinear,21,0.85,TPB
1,NLinear,21,0.92,TPB
1,Naive,21,0.99,TPB
2,Linear,21,1.92,TPB
2,DLinear,21,1.8,TPB
2,NLinear,21,1.34,TPB
2,Naive,21,1.51,TPB
3,Linear,21,1.13,TPB
3,DLinear,21,1.38,TPB
3,NLinear,21,0.85,TPB
3,Naive,21,0.59,TPB
4,Linear,21,0.95,TPB
4,DLinear,21,1.19,TPB
4,NLinear,21,0.82,TPB
4,Naive,21,0.69,TPB
1,Linear,1,1.12,VCB
1,DLinear,1,1.21,VCB
1,NLinear,1,0.71,VCB
1,Naive,1,0.66,VCB
2,Linear,1,0.92,VCB
2,DLinear,1,0.93,VCB
2,NLinear,1,0.69,VCB
2,Naive,1,0.66,VCB
3,Linear,1,0.67,VCB
3,DLinear,1,0.73,VCB
3,NLinear,1,0.45,VCB
3,Naive,1,0.44,VCB
4,Linear,1,1.74,VCB
4,DLinear,1,2.15,VCB
4,NLinear,1,1.29,VCB
4,Naive,1,1.2,VCB
1,Linear,5,1.89,VCB
1,DLinear,5,1.61,VCB
1,NLinear,5,1.31,VCB
1,Naive,5,1.22,VCB
2,Linear,5,1.5,VCB
2,DLinear,5,1.16,VCB
2,NLinear,5,1.05,VCB
2,Naive,5,1.12,VCB
3,Linear,5,1.03,VCB
3,DLinear,5,0.78,VCB
3,NLinear,5,0.84,VCB
3,Naive,5,0.82,VCB
4,Linear,5,3.5,VCB
4,DLinear,5,2.58,VCB
4,NLinear,5,2.06,VCB
4,Naive,5,1.91,VCB
1,Linear,21,3.11,VCB
