ticker,model,pred_len,RMSE,MAE,R2,VarianceRatio
TCB,Linear,5,2.6228,2.103,0.0819,0.9733
TCB,DLinear,5,1.9933,1.5371,0.4697,0.9996
TCB,NLinear,5,1.3805,1.0287,0.7456,1.0392
TCB,Naive,21,2.4044,1.7781,0.1543,1.022
TCB,Linear,21,4.0884,3.255,-1.4452,0.9838
TCB,DLinear,21,3.5382,2.7816,-0.8313,0.9612
TCB,NLinear,21,2.6386,1.9638,-0.0185,1.045
TPB,Naive,1,0.3372,0.2515,0.813,1.0032
TPB,Linear,1,0.6807,0.5632,0.238,0.9637
TPB,DLinear,1,0.5945,0.4529,0.4187,0.998
TPB,NLinear,1,0.3854,0.2934,0.7557,0.9847
TPB,Naive,5,0.5048,0.3688,0.5664,1.0193
TPB,Linear,5,0.8981,0.7417,-0.3724,1.0755
TPB,DLinear,5,0.8661,0.7084,-0.2765,1.1012
TPB,NLinear,5,0.5809,0.4205,0.4258,1.0685
TPB,Naive,21,0.8288,0.6037,-0.3396,1.0592
TPB,Linear,21,1.358,1.102,-2.5968,1.3903
TPB,DLinear,21,1.6729,1.3521,-4.4586,1.7007
TPB,NLinear,21,1.0502,0.7769,-1.1511,1.3061
VCB,Naive,1,1.2509,0.8172,0.922,0.9995
VCB,Linear,1,2.0267,1.2053,0.7951,0.9253
VCB,DLinear,1,2.3886,1.4236,0.7154,0.9154
VCB,NLinear,1,1.2915,0.8741,0.9168,0.9647
VCB,Naive,5,2.4906,1.4272,0.6982,0.9991
VCB,Linear,5,3.6893,2.2941,0.3378,0.8781
VCB,DLinear,5,2.9877,1.7268,0.5657,0.8914
VCB,NLinear,5,2.5236,1.5025,0.6902,0.9366
VCB,Naive,21,5.122,3.2424,-0.1547,0.9884
VCB,Linear,21,5.304,3.5067,-0.2382,0.8651
VCB,DLinear,21,5.0631,3.3759,-0.1283,0.8638
VCB,NLinear,21,5.2106,3.5542,-0.195,0.9834
VIB,Naive,1,0.2859,0.2035,0.9152,1.0064
VIB,Linear,1,0.4314,0.3449,0.8069,0.9794
VIB,DLinear,1,0.4208,0.3286,0.8163,1.0072
VIB,NLinear,1,0.3275,0.2503,0.8887,1.0111
VIB,Naive,5,0.4238,0.3105,0.8041,1.0378
VIB,Linear,5,0.586,0.4454,0.6256,1.1435
VIB,DLinear,5,0.577,0.4379,0.6371,1.0568
VIB,NLinear,5,0.4896,0.3735,0.7387,1.0184
VIB,Naive,21,0.6592,0.4944,0.4239,1.162
VIB,Linear,21,0.8274,0.6416,0.0922,1.2772
VIB,DLinear,21,0.9225,0.7166,-0.1284,1.1878
VIB,NLinear,21,0.7727,0.6027,0.2082,1.1126
VPB,Naive,1,0.7018,0.5247,0.8373,0.9991
